gene	distance	index	recurrence	ecdna	prop	logdistance
PRPF40B	289116	all	NA	NA	NA	5.46107362881742
PRRX1	14129476	all	NA	NA	NA	7.15012608681546
PSIP1	80334827	all	1	NA	NA	7.90490386818027
PTCH1	2356370	all	NA	NA	NA	6.37224366920847
PTEN	14166060	all	1	NA	NA	7.15124910756729
PTK6	19808910	all	6	NA	NA	7.29686060074346
PTPN11	3319609	all	NA	NA	NA	6.52108706418688
PTPN13	85768860	all	NA	NA	NA	7.93332964273826
PTPN6	99565	all	NA	NA	NA	4.9981110599773
PTPRB	12889890	all	6	NA	NA	7.11024924487096
PTPRC	1556698	all	1	NA	NA	6.19220464643044
PTPRD	85233107	all	3	NA	NA	7.9306083251508
PTPRK	6660885	all	5	NA	NA	6.82353200083977
PTPRT	0	all	4	NA	NA	0
PWWP2A	33326725	all	NA	NA	NA	7.52279265089504
QKI	28330388	all	NA	NA	NA	7.45225253778883
RABEP1	2818932	all	NA	NA	NA	6.45008475374458
RAC1	30035714	all	NA	NA	NA	7.47763797478374
RAD17	200861	all	NA	NA	NA	5.30289778268509
RAD21	6280511	all	7	21	0.333333333333333	6.79799504974212
RAD51B	12632059	all	NA	NA	NA	7.10147417982537
RAF1	114610599	all	2	NA	NA	8.05922478611844
RALGDS	2246802	all	NA	NA	NA	6.35156499508775
RANBP2	70358730	all	NA	NA	NA	7.84731799785951
RAP1GDS1	78925493	all	NA	NA	NA	7.89721730885127
RARA	4312492	all	30	NA	NA	6.63472840313899
RB1	15983028	all	1	NA	NA	7.20365908745153
RBM15	1164902	all	NA	NA	NA	6.06628976371516
RECQL4	16582729	all	2	21	0.0952380952380952	7.21965602961209
REL	22131545	all	NA	NA	NA	7.34501175264472
RET	1242262	all	NA	NA	NA	6.09421355023441
RFWD3	10618176	all	NA	NA	NA	7.02604996054955
RGPD3	68043929	all	NA	NA	NA	7.83278938912666
RGS7	33849944	all	1	NA	NA	7.52955796737224
RHOA	77866773	all	NA	NA	NA	7.89135218236251
RHOH	38451919	all	NA	NA	NA	7.58491803008249
RMI2	16464538	all	NA	NA	NA	7.21654957515974
RNF213	2021923	all	4	NA	NA	6.30576482731782
RNF43	13418350	all	21	NA	NA	7.12769914805329
ROBO2	49617187	all	NA	NA	NA	7.69563214746766
ROS1	17755737	all	NA	NA	NA	7.249338728041
RPL22	11585244	all	NA	NA	NA	7.06390522250433
RPL5	18746725	all	NA	NA	NA	7.27292543183505
RPN1	1018869	all	NA	NA	NA	6.00811877489522
RPS6KB1	14957753	all	28	27	1.03703703703704	7.17486638640038
RSF1	858235	all	25	18	1.38888888888889	5.93360672771406
RSPO2	15071703	all	NA	NA	NA	7.17816235622713
RSPO3	7984573	all	NA	NA	NA	6.90225175023222
RUNX1	4969822	all	NA	NA	NA	6.6963409216323
RUNX1T1	23210148	all	2	NA	NA	7.36567792846411
S100A7	3066929	all	NA	NA	NA	6.48670386370317
SALL4	8049717	all	8	NA	NA	6.90578066630711
SBDS	29970576	all	NA	NA	NA	7.47669510415698
SDC4	1603063	all	5	NA	NA	6.20495086127617
SDHA	68205519	all	NA	NA	NA	7.83381952434164
SDHAF2	677951	all	NA	NA	NA	5.83119894626665
SDHB	464258	all	NA	NA	NA	5.66676033160934
SDHC	4780329	all	2	NA	NA	6.67945787825064
SDHD	35438531	all	NA	NA	NA	7.54947572344346
SEPT5	195093	all	NA	NA	NA	5.29024391313127
SEPT9	710913	all	NA	NA	NA	5.85181706685572
SET	6812716	all	1	NA	NA	6.83332034873815
SETBP1	3868832	all	NA	NA	NA	6.58757998359982
SETD1B	2090535	all	NA	NA	NA	6.32025765070333
SETD2	80110832	all	NA	NA	NA	7.90369124759498
SETDB1	5562846	all	2	NA	NA	6.74529711531212
SF3B1	159279493	all	NA	NA	NA	8.20215986735237
SFPQ	9570484	all	NA	NA	NA	6.98093394691859
SFRP4	1463422	all	NA	NA	NA	6.1653698763736
SGK1	863559	all	5	NA	NA	5.93629251765756
SH2B3	2306825	all	NA	NA	NA	6.36301483765515
SH3GL1	554856	all	NA	NA	NA	5.7441810694054
SIRPA	35633182	all	NA	NA	NA	7.55185461824193
SIX1	5456981	all	NA	NA	NA	6.73695252125363
SIX2	6255118	all	NA	NA	NA	6.79623557630789
SKI	15603272	all	NA	NA	NA	7.19321570712017
SLC34A2	23910827	all	NA	NA	NA	7.37859461541334
SLC45A3	1396781	all	3	NA	NA	6.14512862974706
SMAD2	1059790	all	NA	NA	NA	6.0252202270608
SMAD3	2240680	all	NA	NA	NA	6.35038003154575
SMAD4	2037685	all	NA	NA	NA	6.30913726162638
SMARCA4	79819	all	1	NA	NA	4.902111723448
SMARCB1	4622256	all	NA	NA	NA	6.66485408882351
SMARCD1	750696	all	1	NA	NA	5.87546468030484
SMARCE1	4022283	all	NA	NA	NA	6.60447273142195
SMO	22697515	all	NA	NA	NA	7.35597833091463
SND1	23818240	all	NA	NA	NA	7.37690968526593
SNX29	15242010	all	NA	NA	NA	7.18304227071654
SOCS1	16560116	all	NA	NA	NA	7.21906340082295
SOX2	30946567	all	NA	NA	NA	7.4906124924092
SOX21	62467027	all	NA	NA	NA	7.7956508439658
SPECC1	6636094	all	NA	NA	NA	6.82191259460375
SPEN	1577973	all	NA	NA	NA	6.19809984313858
SPOP	4663558	all	19	NA	NA	6.66871747551559
SRC	1519902	all	NA	NA	NA	6.18181587221519
SRGAP3	118024988	all	4	NA	NA	8.07197396862679
SRSF2	1474177	all	6	NA	NA	6.16854992568756
SRSF3	2580579	all	NA	NA	NA	6.41171732708356
SS18	20980847	all	NA	NA	NA	7.32182303744562
SS18L1	18367954	all	NA	NA	NA	7.26406080673293
STAG1	8736055	all	NA	NA	NA	6.94131540929073
STAT3	2285873	all	1	NA	NA	6.35905228790842
STAT5B	2397962	all	1	NA	NA	6.37984247775374
STAT6	512875	all	2	NA	NA	5.71001237675841
STIL	965658	all	NA	NA	NA	5.98482379249903
STK11	3726893	all	NA	NA	NA	6.57134704076303
STRN	1782949	all	NA	NA	NA	6.25113916424738
SUB1	35858146	all	NA	NA	NA	7.55458784327224
SUFU	80072	all	NA	NA	NA	4.90348610000759
SUZ12	3348346	all	18	NA	NA	6.52483045899153
SYK	2184989	all	NA	NA	NA	6.33944945368413
TAF15	7220790	all	6	18	0.333333333333333	6.8585847748714
TAL1	931810	all	NA	NA	NA	5.96932783297537
TAL2	12575842	all	NA	NA	NA	7.09953710688718
TBL1XR1	26255388	all	NA	NA	NA	7.41921845718038
TBX3	5027882	all	NA	NA	NA	6.70138516299849
TCEA1	12488210	all	NA	NA	NA	7.09650022792764
TCF12	7522826	all	NA	NA	NA	6.87638107460541
TCF3	3303001	all	NA	NA	NA	6.51890883666105
TCF7L2	3064020	all	NA	NA	NA	6.48629173751176
TCL1A	2674490	all	NA	NA	NA	6.42724114077771
TEC	46391193	all	NA	NA	NA	7.66643555037904
TERT	67167169	all	NA	NA	NA	7.82715705025975
TET1	7780587	all	NA	NA	NA	6.89101241903414
TET2	72089545	all	NA	NA	NA	7.85787229046578
TFEB	2465465	all	NA	NA	NA	6.39189901777196
TFG	26848489	all	NA	NA	NA	7.4289198653388
TFPT	6763052	all	NA	NA	NA	6.83014279087312
TFRC	45293001	all	NA	NA	NA	7.65603110648176
TGFBR2	96580668	all	1	NA	NA	7.98489020936835
THRAP3	8458272	all	1	NA	NA	6.92728169836588
TLX1	997046	all	NA	NA	NA	5.99871563108953
TLX3	44560119	all	NA	NA	NA	7.64894635171836
TMEM127	57939107	all	NA	NA	NA	7.76297180475004
TMPRSS2	900730	all	NA	NA	NA	5.95459510989293
TNC	20390904	all	1	NA	NA	7.30943650129477
TNFAIP3	2683294	all	2	NA	NA	6.42866842139701
TNFRSF14	15349658	all	1	NA	NA	7.1860987318612
TNFRSF17	15848231	all	NA	NA	NA	7.19998082015179
TOP1	1250365	all	1	NA	NA	6.09703715581956
TP53	517200	all	NA	NA	NA	5.71365935591072
TP63	38866061	all	NA	NA	NA	7.58957053913113
TPM3	2335457	all	NA	NA	NA	6.36837206150509
TPM4	594769	all	NA	NA	NA	5.77434905473385
TPR	10705047	all	NA	NA	NA	7.02958861895305
TRAF7	25682026	all	NA	NA	NA	7.40962929821978
TRIM24	13280568	all	NA	NA	NA	7.12321668258218
TRIM27	2836788	all	NA	NA	NA	6.45282703422957
TRIM33	2877846	all	NA	NA	NA	6.45906770105923
TRIP11	992668	all	1	NA	NA	5.99680445953525
TRRAP	1086300	all	NA	NA	NA	6.03595017932889
TSC1	2451370	all	NA	NA	NA	6.38940904403856
TSC2	25771443	all	NA	NA	NA	7.4111387531905
TSHR	11886425	all	NA	NA	NA	7.07505129096795
U2AF1	701987	all	1	NA	NA	5.84632968822906
UBR5	20743121	all	4	NA	NA	7.31687412164478
USP44	13589678	all	1	NA	NA	7.13320919844146
USP6	3029739	all	NA	NA	NA	6.48140536071017
USP8	14310262	all	2	NA	NA	7.15564761547879
VAV1	1811056	all	2	NA	NA	6.257932119224
VHL	117122555	all	1	NA	NA	8.06864054155399
VTI1A	3412953	all	NA	NA	NA	6.53313043487085
WIF1	7423660	all	NA	NA	NA	6.87061813169264
WNK2	98316	all	NA	NA	NA	4.99262861821726
WRN	6418286	all	1	15	0.0666666666666667	6.80741913309752
WT1	14346955	all	3	NA	NA	7.15675976639148
WWTR1	1047763	all	NA	NA	NA	6.02026347249527
XPA	4588296	all	NA	NA	NA	6.66165152197693
XPC	113096127	all	2	NA	NA	8.0534477365168
XPO1	22727863	all	NA	NA	NA	7.35655862197208
YWHAE	6804507	all	NA	NA	NA	6.8327967290089
ZBTB16	37411391	all	NA	NA	NA	7.57300386769224
ZCCHC8	2805333	all	NA	NA	NA	6.44798457529685
ZEB1	13049316	all	NA	NA	NA	7.11558778133762
ZFHX3	12226421	all	NA	NA	NA	7.08729938156569
ZMYM2	12227417	all	1	NA	NA	7.08733475902005
ZNF331	6176909	all	NA	NA	NA	6.79077127354295
ZNF384	144939	all	NA	NA	NA	5.16118825698226
ZNF429	3708722	all	1	NA	NA	6.56922439761443
ZNF479	20705214	all	NA	NA	NA	7.31607974451378
ZNF521	20026516	all	NA	NA	NA	7.30160542362147
ZNF703	95554	all	31	15	2.06666666666667	4.98025341682898
ZNRF3	393703	all	1	NA	NA	5.59516982720858
