Chromosome	Proportion	CN	Segment_location	Segment_length	Subgroup	Stage
chr2	0.104477611940299	>2	5825000.5	1649999	ER+ High	DCIS
chr7	0.149253731343284	>2	6100000.5	1099999	ER+ High	DCIS
chr6	0.119402985074627	>2	6600000.5	99999	ER+ High	DCIS
chr16	0.402985074626866	>2	6475000.5	449999	ER+ High	DCIS
chr6	0.119402985074627	>2	6675000.5	49999	ER+ High	DCIS
chr7	0.149253731343284	>2	6675000.5	49999	ER+ High	DCIS
chr20	0.208955223880597	>2	6475000.5	549999	ER+ High	DCIS
chr19	0.0447761194029851	>2	6650000.5	199999	ER+ High	DCIS
chr16	0.417910447761194	>2	6750000.5	99999	ER+ High	DCIS
chr8	0.149253731343284	>2	6700000.5	499999	ER+ High	DCIS
chr6	0.119402985074627	>2	6825000.5	249999	ER+ High	DCIS
chr12	0.0895522388059701	>2	6500000.5	1099999	ER+ High	DCIS
chr10	0.134328358208955	>2	6775000.5	549999	ER+ High	DCIS
chr19	0.0298507462686567	>2	6925000.5	349999	ER+ High	DCIS
chr7	0.149253731343284	>2	6925000.5	449999	ER+ High	DCIS
chr5	0.238805970149254	>2	5850000.5	2799999	ER+ High	DCIS
chr9	0.0597014925373134	>2	5925000.5	2649999	ER+ High	DCIS
chr7	0.134328358208955	>2	7200000.5	99999	ER+ High	DCIS
chr6	0.134328358208955	>2	7125000.5	349999	ER+ High	DCIS
chr19	0.0298507462686567	>2	7200000.5	199999	ER+ High	DCIS
chr2	0.104477611940299	>2	7025000.5	749999	ER+ High	DCIS
chr5	0.238805970149254	>2	7325000.5	149999	ER+ High	DCIS
chr9	0.0597014925373134	>2	7325000.5	149999	ER+ High	DCIS
chr19	0.0298507462686567	>2	7375000.5	149999	ER+ High	DCIS
chr11	0.0597014925373134	>2	6200000.5	2599999	ER+ High	DCIS
chr18	0.134328358208955	>2	6675000.5	1749999	ER+ High	DCIS
chr20	0.194029850746269	>2	7175000.5	849999	ER+ High	DCIS
chr12	0.0895522388059701	>2	7325000.5	549999	ER+ High	DCIS
chr6	0.134328358208955	>2	7475000.5	349999	ER+ High	DCIS
chr5	0.238805970149254	>2	7575000.5	349999	ER+ High	DCIS
chr11	0.0597014925373134	>2	7625000.5	249999	ER+ High	DCIS
chr12	0.0895522388059701	>2	7700000.5	199999	ER+ High	DCIS
chr10	0.119402985074627	>2	7450000.5	799999	ER+ High	DCIS
chr7	0.134328358208955	>2	7550000.5	599999	ER+ High	DCIS
chr12	0.0746268656716418	>2	7825000.5	49999	ER+ High	DCIS
chr6	0.134328358208955	>2	7775000.5	249999	ER+ High	DCIS
chr1	0.0597014925373134	>2	7200000.5	1499999	ER+ High	DCIS
chr18	0.119402985074627	>2	7750000.5	399999	ER+ High	DCIS
chr20	0.194029850746269	>2	7775000.5	349999	ER+ High	DCIS
chr5	0.238805970149254	>2	7850000.5	199999	ER+ High	DCIS
chr19	0.0298507462686567	>2	7725000.5	549999	ER+ High	DCIS
chr10	0.104477611940299	>2	7925000.5	149999	ER+ High	DCIS
chr12	0.0895522388059701	>2	7925000.5	149999	ER+ High	DCIS
chr1	0.0597014925373134	>2	7975000.5	49999	ER+ High	DCIS
chr10	0.104477611940299	>2	8025000.5	49999	ER+ High	DCIS
chr3	0.0298507462686567	>2	6675000.5	2849999	ER+ High	DCIS
chr12	0.0895522388059701	>2	8075000.5	149999	ER+ High	DCIS
chr16	0.417910447761194	>2	7525000.5	1449999	ER+ High	DCIS
chr8	0.149253731343284	>2	7650000.5	1399999	ER+ High	DCIS
chr7	0.134328358208955	>2	8125000.5	549999	ER+ High	DCIS
chr18	0.119402985074627	>2	8200000.5	499999	ER+ High	DCIS
chr12	0.0895522388059701	>2	8300000.5	299999	ER+ High	DCIS
chr19	0.0298507462686567	>2	8250000.5	499999	ER+ High	DCIS
chr16	0.417910447761194	>2	8375000.5	249999	ER+ High	DCIS
chr10	0.104477611940299	>2	8300000.5	499999	ER+ High	DCIS
chr19	0.0447761194029851	>2	8525000.5	49999	ER+ High	DCIS
chr16	0.417910447761194	>2	8550000.5	99999	ER+ High	DCIS
chr1	0.0597014925373134	>2	8325000.5	649999	ER+ High	DCIS
chr10	0.119402985074627	>2	8600000.5	99999	ER+ High	DCIS
chr19	0.0447761194029851	>2	8600000.5	99999	ER+ High	DCIS
chr16	0.402985074626866	>2	8625000.5	49999	ER+ High	DCIS
chr19	0.0447761194029851	>2	8675000.5	49999	ER+ High	DCIS
chr10	0.119402985074627	>2	8700000.5	99999	ER+ High	DCIS
chr19	0.0447761194029851	>2	8750000.5	99999	ER+ High	DCIS
chr1	0.0597014925373134	>2	8750000.5	199999	ER+ High	DCIS
chr3	0.0298507462686567	>2	8600000.5	999999	ER+ High	DCIS
chr11	0.0597014925373134	>2	8450000.5	1399999	ER+ High	DCIS
chr8	0.164179104477612	>2	8750000.5	799999	ER+ High	DCIS
chr18	0.119402985074627	>2	8800000.5	699999	ER+ High	DCIS
chr12	0.104477611940299	>2	8850000.5	799999	ER+ High	DCIS
chr10	0.119402985074627	>2	9000000.5	499999	ER+ High	DCIS
chr9	0.0746268656716418	>2	8350000.5	1899999	ER+ High	DCIS
chr10	0.119402985074627	>2	9275000.5	49999	ER+ High	DCIS
chr11	0.0597014925373134	>2	9250000.5	199999	ER+ High	DCIS
chr10	0.119402985074627	>2	9325000.5	49999	ER+ High	DCIS
chr5	0.238805970149254	>2	8675000.5	1449999	ER+ High	DCIS
chr18	0.119402985074627	>2	9300000.5	299999	ER+ High	DCIS
chr6	0.119402985074627	>2	8725000.5	1649999	ER+ High	DCIS
chr17	0.0149253731343284	>2	9050000.5	999999	ER+ High	DCIS
chr19	0.0597014925373134	>2	9200000.5	799999	ER+ High	DCIS
chr10	0.134328358208955	>2	9500000.5	299999	ER+ High	DCIS
chr7	0.134328358208955	>2	9050000.5	1299999	ER+ High	DCIS
chr4	0.0597014925373134	>2	7925000.5	3749999	ER+ High	DCIS
chr1	0.0597014925373134	>2	9325000.5	949999	ER+ High	DCIS
chr16	0.388059701492537	>2	9250000.5	1199999	ER+ High	DCIS
chr8	0.164179104477612	>2	9500000.5	699999	ER+ High	DCIS
chr1	0.0597014925373134	>2	9850000.5	99999	ER+ High	DCIS
chr8	0.164179104477612	>2	9875000.5	49999	ER+ High	DCIS
chr20	0.194029850746269	>2	8975000.5	2049999	ER+ High	DCIS
chr9	0.0746268656716418	>2	9675000.5	749999	ER+ High	DCIS
chr18	0.119402985074627	>2	9800000.5	699999	ER+ High	DCIS
chr7	0.134328358208955	>2	9925000.5	449999	ER+ High	DCIS
chr5	0.238805970149254	>2	9800000.5	799999	ER+ High	DCIS
chr10	0.149253731343284	>2	9925000.5	549999	ER+ High	DCIS
chr19	0.0447761194029851	>2	9925000.5	649999	ER+ High	DCIS
chr16	0.388059701492537	>2	10050000.5	399999	ER+ High	DCIS
chr5	0.238805970149254	>2	10250000.5	99999	ER+ High	DCIS
chr16	0.373134328358209	>2	10275000.5	49999	ER+ High	DCIS
chr6	0.134328358208955	>2	9975000.5	849999	ER+ High	DCIS
chr4	0.0597014925373134	>2	10100000.5	599999	ER+ High	DCIS
chr8	0.164179104477612	>2	10225000.5	649999	ER+ High	DCIS
chr9	0.0746268656716418	>2	10300000.5	499999	ER+ High	DCIS
chr16	0.388059701492537	>2	10425000.5	249999	ER+ High	DCIS
chr19	0.0447761194029851	>2	10425000.5	349999	ER+ High	DCIS
chr16	0.388059701492537	>2	10575000.5	49999	ER+ High	DCIS
chr7	0.119402985074627	>2	10400000.5	499999	ER+ High	DCIS
chr10	0.149253731343284	>2	10425000.5	449999	ER+ High	DCIS
chr6	0.149253731343284	>2	10525000.5	249999	ER+ High	DCIS
chr19	0.0447761194029851	>2	10625000.5	49999	ER+ High	DCIS
chr18	0.104477611940299	>2	10425000.5	549999	ER+ High	DCIS
chr10	0.149253731343284	>2	10675000.5	49999	ER+ High	DCIS
chr16	0.388059701492537	>2	10675000.5	149999	ER+ High	DCIS
chr7	0.119402985074627	>2	10725000.5	149999	ER+ High	DCIS
chr18	0.104477611940299	>2	10800000.5	199999	ER+ High	DCIS
chr16	0.402985074626866	>2	10850000.5	199999	ER+ High	DCIS
chr12	0.104477611940299	>2	10125000.5	1749999	ER+ High	DCIS
chr11	0.0597014925373134	>2	10175000.5	1649999	ER+ High	DCIS
chr16	0.388059701492537	>2	10975000.5	49999	ER+ High	DCIS
chr19	0.0447761194029851	>2	10875000.5	449999	ER+ High	DCIS
chr18	0.0895522388059701	>2	11075000.5	349999	ER+ High	DCIS
chr19	0.0447761194029851	>2	11175000.5	149999	ER+ High	DCIS
chr8	0.164179104477612	>2	10925000.5	749999	ER+ High	DCIS
chr6	0.149253731343284	>2	10975000.5	649999	ER+ High	DCIS
chr20	0.194029850746269	>2	10675000.5	1349999	ER+ High	DCIS
chr19	0.0597014925373134	>2	11300000.5	99999	ER+ High	DCIS
chr2	0.104477611940299	>2	9400000.5	3999999	ER+ High	DCIS
chr11	0.0597014925373134	>2	11200000.5	399999	ER+ High	DCIS
chr10	0.17910447761194	>2	11075000.5	749999	ER+ High	DCIS
chr12	0.104477611940299	>2	11275000.5	549999	ER+ High	DCIS
chr19	0.0597014925373134	>2	11500000.5	299999	ER+ High	DCIS
chr2	0.119402985074627	>2	11525000.5	249999	ER+ High	DCIS
chr5	0.238805970149254	>2	11025000.5	1449999	ER+ High	DCIS
chr10	0.17910447761194	>2	11600000.5	299999	ER+ High	DCIS
chr12	0.104477611940299	>2	11675000.5	249999	ER+ High	DCIS
chr16	0.388059701492537	>2	11425000.5	849999	ER+ High	DCIS
chr18	0.0895522388059701	>2	11575000.5	649999	ER+ High	DCIS
chr20	0.194029850746269	>2	11625000.5	549999	ER+ High	DCIS
chr11	0.0597014925373134	>2	11675000.5	549999	ER+ High	DCIS
chr7	0.119402985074627	>2	11400000.5	1199999	ER+ High	DCIS
chr8	0.164179104477612	>2	11650000.5	699999	ER+ High	DCIS
chr16	0.388059701492537	>2	11925000.5	149999	ER+ High	DCIS
chr16	0.388059701492537	>2	12025000.5	49999	ER+ High	DCIS
chr16	0.388059701492537	>2	12075000.5	49999	ER+ High	DCIS
chr6	0.149253731343284	>2	11775000.5	949999	ER+ High	DCIS
chr20	0.208955223880597	>2	12075000.5	349999	ER+ High	DCIS
chr16	0.388059701492537	>2	12200000.5	199999	ER+ High	DCIS
chr12	0.104477611940299	>2	12075000.5	549999	ER+ High	DCIS
chr16	0.388059701492537	>2	12325000.5	49999	ER+ High	DCIS
chr12	0.0895522388059701	>2	12375000.5	49999	ER+ High	DCIS
chr19	0.0447761194029851	>2	12100000.5	899999	ER+ High	DCIS
chr18	0.0895522388059701	>2	12225000.5	649999	ER+ High	DCIS
chr1	0.0746268656716418	>2	11250000.5	2699999	ER+ High	DCIS
chr4	0.0597014925373134	>2	11500000.5	2199999	ER+ High	DCIS
chr6	0.134328358208955	>2	12425000.5	349999	ER+ High	DCIS
chr17	0.0149253731343284	>2	12625000.5	49999	ER+ High	DCIS
chr4	0.0447761194029851	>2	12625000.5	49999	ER+ High	DCIS
chr8	0.149253731343284	>2	12350000.5	699999	ER+ High	DCIS
chr8	0.149253731343284	>2	12725000.5	49999	ER+ High	DCIS
chr3	0.0298507462686567	>2	10950000.5	3699999	ER+ High	DCIS
chr11	0.0746268656716418	>2	12450000.5	999999	ER+ High	DCIS
chr16	0.402985074626866	>2	12700000.5	699999	ER+ High	DCIS
chr7	0.134328358208955	>2	12550000.5	1099999	ER+ High	DCIS
chr2	0.104477611940299	>2	12400000.5	1499999	ER+ High	DCIS
chr4	0.0597014925373134	>2	12900000.5	499999	ER+ High	DCIS
chr7	0.119402985074627	>2	13175000.5	149999	ER+ High	DCIS
chr20	0.208955223880597	>2	12775000.5	1049999	ER+ High	DCIS
chr17	0.0298507462686567	>2	12975000.5	649999	ER+ High	DCIS
chr9	0.0746268656716418	>2	11975000.5	2849999	ER+ High	DCIS
chr1	0.0746268656716418	>2	13000000.5	799999	ER+ High	DCIS
chr8	0.149253731343284	>2	13100000.5	699999	ER+ High	DCIS
chr4	0.0597014925373134	>2	13300000.5	299999	ER+ High	DCIS
chr16	0.402985074626866	>2	13350000.5	599999	ER+ High	DCIS
chr17	0.0298507462686567	>2	13475000.5	349999	ER+ High	DCIS
chr1	0.0746268656716418	>2	13525000.5	249999	ER+ High	DCIS
chr9	0.0746268656716418	>2	13525000.5	249999	ER+ High	DCIS
chr4	0.0597014925373134	>2	13550000.5	199999	ER+ High	DCIS
chr12	0.0895522388059701	>2	13125000.5	1449999	ER+ High	DCIS
chr16	0.388059701492537	>2	13775000.5	249999	ER+ High	DCIS
chr8	0.149253731343284	>2	13700000.5	499999	ER+ High	DCIS
chr19	0.0447761194029851	>2	13325000.5	1549999	ER+ High	DCIS
chr17	0.0298507462686567	>2	13875000.5	449999	ER+ High	DCIS
chr4	0.0597014925373134	>2	13925000.5	549999	ER+ High	DCIS
chr8	0.149253731343284	>2	14100000.5	299999	ER+ High	DCIS
chr12	0.0895522388059701	>2	14075000.5	449999	ER+ High	DCIS
chr8	0.149253731343284	>2	14275000.5	49999	ER+ High	DCIS
chr1	0.0746268656716418	>2	14000000.5	699999	ER+ High	DCIS
chr21	0.119402985074627	>2	12325000.5	4149999	ER+ High	DCIS
chr10	0.17910447761194	>2	13075000.5	2649999	ER+ High	DCIS
chr16	0.388059701492537	>2	14150000.5	499999	ER+ High	DCIS
chr11	0.0597014925373134	>2	13700000.5	1499999	ER+ High	DCIS
chr20	0.208955223880597	>2	13875000.5	1149999	ER+ High	DCIS
chr16	0.388059701492537	>2	14425000.5	49999	ER+ High	DCIS
chr9	0.0597014925373134	>2	14125000.5	949999	ER+ High	DCIS
chr19	0.0447761194029851	>2	14350000.5	499999	ER+ High	DCIS
chr21	0.119402985074627	>2	14525000.5	249999	ER+ High	DCIS
chr16	0.402985074626866	>2	14575000.5	249999	ER+ High	DCIS
chr18	0.0895522388059701	>2	13675000.5	2249999	ER+ High	DCIS
chr12	0.104477611940299	>2	14550000.5	499999	ER+ High	DCIS
chr21	0.134328358208955	>2	14750000.5	199999	ER+ High	DCIS
chr17	0.0298507462686567	>2	14500000.5	799999	ER+ High	DCIS
chr8	0.134328358208955	>2	14600000.5	599999	ER+ High	DCIS
chr1	0.0746268656716418	>2	14650000.5	599999	ER+ High	DCIS
chr18	0.0746268656716418	>2	14875000.5	149999	ER+ High	DCIS
chr17	0.0298507462686567	>2	14925000.5	49999	ER+ High	DCIS
chr16	0.402985074626866	>2	14850000.5	299999	ER+ High	DCIS
chr21	0.149253731343284	>2	14950000.5	199999	ER+ High	DCIS
chr8	0.164179104477612	>2	14975000.5	149999	ER+ High	DCIS
chr4	0.0597014925373134	>2	14675000.5	949999	ER+ High	DCIS
chr10	0.194029850746269	>2	14800000.5	799999	ER+ High	DCIS
chr8	0.149253731343284	>2	15125000.5	149999	ER+ High	DCIS
chr12	0.104477611940299	>2	15025000.5	449999	ER+ High	DCIS
chr12	0.104477611940299	>2	15275000.5	49999	ER+ High	DCIS
chr20	0.208955223880597	>2	14900000.5	899999	ER+ High	DCIS
chr9	0.0447761194029851	>2	14975000.5	749999	ER+ High	DCIS
chr21	0.164179104477612	>2	15225000.5	349999	ER+ High	DCIS
chr4	0.0597014925373134	>2	15275000.5	249999	ER+ High	DCIS
chr17	0.0298507462686567	>2	15225000.5	549999	ER+ High	DCIS
chr19	0.0597014925373134	>2	15075000.5	949999	ER+ High	DCIS
chr20	0.208955223880597	>2	15475000.5	249999	ER+ High	DCIS
chr21	0.164179104477612	>2	15525000.5	249999	ER+ High	DCIS
chr2	0.104477611940299	>2	14425000.5	2549999	ER+ High	DCIS
chr1	0.0895522388059701	>2	15350000.5	799999	ER+ High	DCIS
chr16	0.417910447761194	>2	15375000.5	749999	ER+ High	DCIS
chr19	0.0597014925373134	>2	15700000.5	299999	ER+ High	DCIS
chr21	0.149253731343284	>2	15750000.5	199999	ER+ High	DCIS
chr12	0.119402985074627	>2	15600000.5	599999	ER+ High	DCIS
chr17	0.0298507462686567	>2	15700000.5	399999	ER+ High	DCIS
chr21	0.164179104477612	>2	15875000.5	49999	ER+ High	DCIS
chr17	0.0447761194029851	>2	15925000.5	49999	ER+ High	DCIS
chr17	0.0447761194029851	>2	15975000.5	49999	ER+ High	DCIS
chr19	0.0597014925373134	>2	15950000.5	199999	ER+ High	DCIS
chr20	0.208955223880597	>2	15850000.5	499999	ER+ High	DCIS
chr10	0.194029850746269	>2	15675000.5	949999	ER+ High	DCIS
chr17	0.0447761194029851	>2	16075000.5	149999	ER+ High	DCIS
chr16	0.417910447761194	>2	15975000.5	449999	ER+ High	DCIS
chr21	0.149253731343284	>2	16050000.5	299999	ER+ High	DCIS
chr4	0.0597014925373134	>2	15850000.5	899999	ER+ High	DCIS
chr7	0.119402985074627	>2	14825000.5	3149999	ER+ High	DCIS
chr4	0.0597014925373134	>2	16375000.5	149999	ER+ High	DCIS
chr1	0.0895522388059701	>2	16125000.5	749999	ER+ High	DCIS
chr6	0.119402985074627	>2	14575000.5	3949999	ER+ High	DCIS
chr7	0.119402985074627	>2	16475000.5	149999	ER+ High	DCIS
chr20	0.208955223880597	>2	16350000.5	499999	ER+ High	DCIS
chr21	0.164179104477612	>2	16400000.5	399999	ER+ High	DCIS
chr7	0.149253731343284	>2	16575000.5	49999	ER+ High	DCIS
chr21	0.149253731343284	>2	16625000.5	49999	ER+ High	DCIS
chr8	0.134328358208955	>2	15950000.5	1499999	ER+ High	DCIS
chr16	0.402985074626866	>2	16475000.5	549999	ER+ High	DCIS
chr7	0.149253731343284	>2	16700000.5	199999	ER+ High	DCIS
chr8	0.134328358208955	>2	16750000.5	99999	ER+ High	DCIS
chr17	0.0447761194029851	>2	16550000.5	799999	ER+ High	DCIS
chr4	0.0597014925373134	>2	16725000.5	549999	ER+ High	DCIS
chr6	0.119402985074627	>2	16825000.5	549999	ER+ High	DCIS
chr7	0.149253731343284	>2	16950000.5	299999	ER+ High	DCIS
chr8	0.149253731343284	>2	16975000.5	349999	ER+ High	DCIS
chr19	0.0597014925373134	>2	16625000.5	1149999	ER+ High	DCIS
chr17	0.0447761194029851	>2	17075000.5	249999	ER+ High	DCIS
chr8	0.149253731343284	>2	17200000.5	99999	ER+ High	DCIS
chr17	0.0597014925373134	>2	17250000.5	99999	ER+ High	DCIS
chr12	0.119402985074627	>2	16625000.5	1449999	ER+ High	DCIS
chr8	0.164179104477612	>2	17300000.5	99999	ER+ High	DCIS
chr4	0.0597014925373134	>2	17225000.5	449999	ER+ High	DCIS
chr20	0.208955223880597	>2	17050000.5	899999	ER+ High	DCIS
chr21	0.164179104477612	>2	17125000.5	949999	ER+ High	DCIS
chr7	0.149253731343284	>2	17350000.5	499999	ER+ High	DCIS
chr12	0.119402985074627	>2	17500000.5	299999	ER+ High	DCIS
chr21	0.164179104477612	>2	17625000.5	49999	ER+ High	DCIS
chr22	0.0298507462686567	>2	17225000.5	949999	ER+ High	DCIS
chr7	0.149253731343284	>2	17650000.5	99999	ER+ High	DCIS
chr21	0.164179104477612	>2	17675000.5	49999	ER+ High	DCIS
chr8	0.17910447761194	>2	17550000.5	399999	ER+ High	DCIS
chr21	0.164179104477612	>2	17725000.5	49999	ER+ High	DCIS
chr22	0.0298507462686567	>2	17775000.5	149999	ER+ High	DCIS
chr7	0.149253731343284	>2	17775000.5	149999	ER+ High	DCIS
chr7	0.134328358208955	>2	17925000.5	149999	ER+ High	DCIS
chr16	0.402985074626866	>2	17400000.5	1299999	ER+ High	DCIS
chr8	0.17910447761194	>2	17900000.5	299999	ER+ High	DCIS
chr22	0.0447761194029851	>2	18000000.5	299999	ER+ High	DCIS
chr22	0.0447761194029851	>2	18175000.5	49999	ER+ High	DCIS
chr21	0.17910447761194	>2	18025000.5	549999	ER+ High	DCIS
chr20	0.208955223880597	>2	17950000.5	899999	ER+ High	DCIS
chr7	0.134328358208955	>2	18200000.5	399999	ER+ High	DCIS
chr21	0.164179104477612	>2	18350000.5	99999	ER+ High	DCIS
chr20	0.208955223880597	>2	18425000.5	49999	ER+ High	DCIS
chr20	0.208955223880597	>2	18475000.5	49999	ER+ High	DCIS
chr11	0.0746268656716418	>2	16550000.5	4199999	ER+ High	DCIS
chr11	0.0895522388059701	>2	18675000.5	49999	ER+ High	DCIS
chr19	0.0597014925373134	>2	18025000.5	1649999	ER+ High	DCIS
chr12	0.119402985074627	>2	18250000.5	1199999	ER+ High	DCIS
chr8	0.17910447761194	>2	18475000.5	849999	ER+ High	DCIS
chr5	0.238805970149254	>2	15375000.5	7249999	ER+ High	DCIS
chr22	0.0298507462686567	>2	18600000.5	799999	ER+ High	DCIS
chr12	0.119402985074627	>2	18925000.5	149999	ER+ High	DCIS
chr19	0.0746268656716418	>2	18925000.5	149999	ER+ High	DCIS
chr3	0.0298507462686567	>2	15950000.5	6299999	ER+ High	DCIS
chr5	0.238805970149254	>2	19075000.5	149999	ER+ High	DCIS
chr17	0.0597014925373134	>2	18275000.5	1949999	ER+ High	DCIS
chr8	0.17910447761194	>2	19100000.5	399999	ER+ High	DCIS
chr12	0.119402985074627	>2	19150000.5	299999	ER+ High	DCIS
chr5	0.223880597014925	>2	19225000.5	149999	ER+ High	DCIS
chr21	0.149253731343284	>2	18875000.5	949999	ER+ High	DCIS
chr4	0.0597014925373134	>2	18425000.5	1949999	ER+ High	DCIS
chr22	0.0298507462686567	>2	19200000.5	399999	ER+ High	DCIS
chr17	0.119402985074627	>2	19325000.5	149999	ER+ High	DCIS
chr5	0.223880597014925	>2	19350000.5	99999	ER+ High	DCIS
chr21	0.134328358208955	>2	19375000.5	49999	ER+ High	DCIS
chr1	0.0895522388059701	>2	18000000.5	2999999	ER+ High	DCIS
chr21	0.134328358208955	>2	19450000.5	99999	ER+ High	DCIS
chr11	0.0895522388059701	>2	19125000.5	849999	ER+ High	DCIS
chr8	0.194029850746269	>2	19425000.5	249999	ER+ High	DCIS
chr13	0.0447761194029851	>2	19225000.5	749999	ER+ High	DCIS
chr21	0.134328358208955	>2	19550000.5	99999	ER+ High	DCIS
chr8	0.17910447761194	>2	19600000.5	99999	ER+ High	DCIS
chr22	0.0298507462686567	>2	19550000.5	299999	ER+ High	DCIS
chr8	0.17910447761194	>2	19675000.5	49999	ER+ High	DCIS
chr17	0.119402985074627	>2	19575000.5	349999	ER+ High	DCIS
chr21	0.119402985074627	>2	19700000.5	199999	ER+ High	DCIS
chr2	0.104477611940299	>2	17775000.5	4149999	ER+ High	DCIS
chr22	0.0298507462686567	>2	19775000.5	149999	ER+ High	DCIS
chr12	0.119402985074627	>2	19600000.5	599999	ER+ High	DCIS
chr2	0.104477611940299	>2	19875000.5	49999	ER+ High	DCIS
chr17	0.134328358208955	>2	19850000.5	199999	ER+ High	DCIS
chr2	0.104477611940299	>2	19950000.5	99999	ER+ High	DCIS
chr17	0.134328358208955	>2	19975000.5	49999	ER+ High	DCIS
chr21	0.134328358208955	>2	19925000.5	249999	ER+ High	DCIS
chr20	0.208955223880597	>2	19300000.5	1599999	ER+ High	DCIS
chr8	0.164179104477612	>2	19925000.5	449999	ER+ High	DCIS
chr12	0.119402985074627	>2	20075000.5	349999	ER+ High	DCIS
chr8	0.164179104477612	>2	20200000.5	99999	ER+ High	DCIS
chr14	0.0597014925373134	>2	20125000.5	349999	ER+ High	DCIS
chr8	0.17910447761194	>2	20275000.5	49999	ER+ High	DCIS
chr9	0.0447761194029851	>2	17850000.5	4999999	ER+ High	DCIS
chr17	0.164179104477612	>2	20175000.5	349999	ER+ High	DCIS
chr14	0.0447761194029851	>2	20325000.5	49999	ER+ High	DCIS
chr5	0.238805970149254	>2	19900000.5	999999	ER+ High	DCIS
chr8	0.17910447761194	>2	20350000.5	99999	ER+ High	DCIS
chr8	0.164179104477612	>2	20425000.5	49999	ER+ High	DCIS
chr19	0.0746268656716418	>2	19750000.5	1499999	ER+ High	DCIS
chr5	0.238805970149254	>2	20450000.5	99999	ER+ High	DCIS
chr8	0.17910447761194	>2	20500000.5	99999	ER+ High	DCIS
chr11	0.0746268656716418	>2	20075000.5	1049999	ER+ High	DCIS
chr22	0.0447761194029851	>2	20225000.5	749999	ER+ High	DCIS
chr8	0.164179104477612	>2	20575000.5	49999	ER+ High	DCIS
chr2	0.104477611940299	>2	20325000.5	649999	ER+ High	DCIS
chr12	0.119402985074627	>2	20475000.5	449999	ER+ High	DCIS
chr2	0.104477611940299	>2	20675000.5	49999	ER+ High	DCIS
chr10	0.194029850746269	>2	18450000.5	4599999	ER+ High	DCIS
chr4	0.0597014925373134	>2	20075000.5	1349999	ER+ High	DCIS
chr20	0.208955223880597	>2	20425000.5	649999	ER+ High	DCIS
chr19	0.0746268656716418	>2	20650000.5	299999	ER+ High	DCIS
chr8	0.17910447761194	>2	20700000.5	199999	ER+ High	DCIS
chr10	0.17910447761194	>2	20775000.5	49999	ER+ High	DCIS
chr21	0.134328358208955	>2	20450000.5	799999	ER+ High	DCIS
chr14	0.0447761194029851	>2	20600000.5	499999	ER+ High	DCIS
chr20	0.208955223880597	>2	20800000.5	99999	ER+ High	DCIS
chr18	0.0597014925373134	>2	17950000.5	5999999	ER+ High	DCIS
chr7	0.134328358208955	>2	19675000.5	2549999	ER+ High	DCIS
chr1	0.0895522388059701	>2	20225000.5	1449999	ER+ High	DCIS
chr17	0.164179104477612	>2	20675000.5	649999	ER+ High	DCIS
chr9	0.0447761194029851	>2	20675000.5	649999	ER+ High	DCIS
chr4	0.0895522388059701	>2	20875000.5	249999	ER+ High	DCIS
chr12	0.119402985074627	>2	20875000.5	349999	ER+ High	DCIS
chr11	0.0746268656716418	>2	20850000.5	499999	ER+ High	DCIS
chr14	0.0447761194029851	>2	20975000.5	249999	ER+ High	DCIS
chr7	0.134328358208955	>2	21025000.5	149999	ER+ High	DCIS
chr9	0.0447761194029851	>2	21050000.5	99999	ER+ High	DCIS
chr12	0.119402985074627	>2	21075000.5	49999	ER+ High	DCIS
chr8	0.194029850746269	>2	20975000.5	349999	ER+ High	DCIS
chr17	0.164179104477612	>2	21075000.5	149999	ER+ High	DCIS
chr14	0.0447761194029851	>2	21125000.5	49999	ER+ High	DCIS
chr17	0.149253731343284	>2	21200000.5	99999	ER+ High	DCIS
chr8	0.17910447761194	>2	21200000.5	99999	ER+ High	DCIS
chr6	0.119402985074627	>2	19200000.5	4199999	ER+ High	DCIS
chr16	0.402985074626866	>2	19700000.5	3299999	ER+ High	DCIS
chr6	0.104477611940299	>2	21325000.5	49999	ER+ High	DCIS
chr14	0.0447761194029851	>2	21275000.5	249999	ER+ High	DCIS
chr17	0.149253731343284	>2	21325000.5	149999	ER+ High	DCIS
chr1	0.0895522388059701	>2	21225000.5	549999	ER+ High	DCIS
chr8	0.164179104477612	>2	21375000.5	249999	ER+ High	DCIS
chr16	0.388059701492537	>2	21425000.5	149999	ER+ High	DCIS
chr21	0.149253731343284	>2	21200000.5	699999	ER+ High	DCIS
chr22	0.0597014925373134	>2	21100000.5	999999	ER+ High	DCIS
chr8	0.149253731343284	>2	21575000.5	149999	ER+ High	DCIS
chr13	0.0447761194029851	>2	20650000.5	2099999	ER+ High	DCIS
chr12	0.119402985074627	>2	21400000.5	599999	ER+ High	DCIS
chr21	0.149253731343284	>2	21625000.5	149999	ER+ High	DCIS
chr14	0.0447761194029851	>2	21600000.5	399999	ER+ High	DCIS
chr8	0.134328358208955	>2	21725000.5	149999	ER+ High	DCIS
chr21	0.149253731343284	>2	21775000.5	149999	ER+ High	DCIS
chr8	0.119402985074627	>2	21850000.5	99999	ER+ High	DCIS
chr8	0.119402985074627	>2	21950000.5	99999	ER+ High	DCIS
chr5	0.238805970149254	>2	21275000.5	1549999	ER+ High	DCIS
